date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:17	633/633	---MCZ	200	added ('OK')	text/plain	date:Mon,%2005%20Jan%202026%2016:51:07%20GMT	https://rulko.ca/robots.txt		(from )
00:51:17	21084/21084	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2017:32:26%20GMT	https://rulko.ca/	C:/My%20Web%20Sites/TheoRulko/rulko.ca/index.html	(from )
00:51:18	131680/131680	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221d2397d-20260-57e081f6368c0-br%22	https://rulko.ca/assets/img/icon.ico	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/icon.ico	(from https://rulko.ca/)
00:51:18	34554/34554	---MCZ	200	added ('OK')	text/css	etag:W/%221d239cd-86fa-5cd8a4c400c00-br%22	https://rulko.ca/assets/style.css	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/style.css	(from https://rulko.ca/)
00:51:18	131680/131680	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221d2397d-20260-57e081f6368c0-br%22	https://rulko.ca/assets/img/icon.ico?v=1.0	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/iconc619.ico	(from https://rulko.ca/)
00:51:18	485225/485225	---M--	200	added ('OK')	image/png	etag:%221d2397f-76769-57e081f81ed40%22	https://rulko.ca/assets/img/icon.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/icon.png	(from https://rulko.ca/)
00:51:19	45718/45718	---MCZ	200	added ('OK')	text/css	etag:W/%221d23952-b296-57e082b216400-br%22	https://rulko.ca/assets/icons/css/all.min.css	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/css/all.min.css	(from https://rulko.ca/)
00:51:19	34470/34470	---M--	200	added ('OK')	image/jpeg	etag:%221d23990-86a6-5b20e985be9c0%22	https://rulko.ca/assets/img/president.thumb.jpg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/president.thumb.jpg	(from https://rulko.ca/)
00:51:19	1743/1743	---M--	200	added ('OK')	image/png	etag:%221d23963-6cf-5cd8a4f2bba40%22	https://rulko.ca/assets/img/M.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/M.png	(from https://rulko.ca/)
00:51:19	41651/41651	---M--	200	added ('OK')	image/png	etag:%221d2396e-a2b3-5cd8a4f1c7800%22	https://rulko.ca/assets/img/aiaa.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/aiaa.png	(from https://rulko.ca/)
00:51:19	76892/76892	---M--	200	added ('OK')	image/png	etag:%221d23992-12c5c-5a032a229a340%22	https://rulko.ca/assets/img/structures.thumb.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/structures.thumb.png	(from https://rulko.ca/)
00:51:20	35970/35970	---M--	200	added ('OK')	image/png	etag:%221d23967-8c82-5cd8a4f2bba40%22	https://rulko.ca/assets/img/CoE-Condensed.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/CoE-Condensed.png	(from https://rulko.ca/)
00:51:20	55/55	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jan%202026%2016:51:10%20GMT	https://rulko.ca/Portal/	C:/My%20Web%20Sites/TheoRulko/rulko.ca/Portal/index.html	(from https://rulko.ca/)
00:51:20	456082/456082	---M--	200	added ('OK')	image/png	etag:%221d2399e-6f592-5a03b9e8b57c0%22	https://rulko.ca/assets/img/tsm.thumb.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/tsm.thumb.png	(from https://rulko.ca/)
00:51:20	21084/21084	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2017:32:26%20GMT	https://rulko.ca/?s=y	C:/My%20Web%20Sites/TheoRulko/rulko.ca/index3c6c.html	(from https://rulko.ca/)
00:51:20	164618/164618	---M--	200	added ('OK')	image/png	etag:%221d23971-2830a-5a032a36a1280%22	https://rulko.ca/assets/img/blimp.thumb.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/blimp.thumb.png	(from https://rulko.ca/)
00:51:20	389746/389746	---M--	200	added ('OK')	image/png	etag:%221d2399f-5f272-5cd8a4f1c7800%22	https://rulko.ca/assets/img/umich.seal.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/umich.seal.png	(from https://rulko.ca/)
00:51:20	11901/11901	---M--	200	added ('OK')	image/png	etag:%221d23974-2e7d-57e081f265fc0%22	https://rulko.ca/assets/img/chrome%20frame.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/chrome%20frame.png	(from https://rulko.ca/)
00:51:21	42995/42995	---M--	200	added ('OK')	image/jpeg	etag:%221d2397b-a7f3-57e081f35a200%22	https://rulko.ca/assets/img/cleanstart.jpg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/cleanstart.jpg	(from https://rulko.ca/)
00:51:21	33258/33258	---M--	200	added ('OK')	image/png	etag:%221d2398a-81ea-5a032a3d4e240%22	https://rulko.ca/assets/img/masa.thumb.png	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/masa.thumb.png	(from https://rulko.ca/)
00:51:21	36336/36336	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2017:33:47%20GMT	https://rulko.ca/Portfolio/	C:/My%20Web%20Sites/TheoRulko/rulko.ca/Portfolio/index.html	(from https://rulko.ca/)
00:51:21	31931/31931	---M--	200	added ('OK')	image/jpeg	etag:%221d2399a-7cbb-57e0820a3d800%22	https://rulko.ca/assets/img/tesson.ca.thumb.jpg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/tesson.ca.thumb.jpg	(from https://rulko.ca/)
00:51:21	95931/95931	---MCZ	200	added ('OK')	text/javascript	etag:W/%221d239cc-176bb-57e081eac4dc0-br%22	https://rulko.ca/assets/jquery.min.js	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/jquery.min.js	(from https://rulko.ca/)
00:51:21	7096/7096	---MCZ	200	added ('OK')	text/javascript	etag:W/%221d239ca-1bb8-5cd8a4c400c00-br%22	https://rulko.ca/assets/js.js	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/js.js	(from https://rulko.ca/)
00:51:22	12332/12332	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2005%20Jan%202026%2016:51:12%20GMT	https://rulko.ca/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/TheoRulko/rulko.ca/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://rulko.ca/)
00:51:23	59074/59074	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d23954-e6c2-5a0254eede180-br%22	https://rulko.ca/assets/font/HubllandRegular.eot	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/font/HubllandRegular.eot	(from https://rulko.ca/assets/style.css)
00:51:23	59074/59074	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d23954-e6c2-5a0254eede180-br%22	https://rulko.ca/assets/font/HubllandRegular.eot?	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/font/HubllandRegulard41d.eot	(from https://rulko.ca/assets/style.css)
00:51:24	163730/163730	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d23951-27f92-5a0254eede180-br%22	https://rulko.ca/assets/font/HubllandRegular.svg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/font/HubllandRegular.svg	(from https://rulko.ca/assets/style.css)
00:51:24	58884/58884	---MCZ	200	added ('OK')	font/ttf	etag:W/%221d2394f-e604-5a0254efd23c0-br%22	https://rulko.ca/assets/font/HubllandRegular.ttf	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/font/HubllandRegular.ttf	(from https://rulko.ca/assets/style.css)
00:51:24	28500/28500	---MC-	200	added ('OK')	font/woff	etag:W/%221d23946-6f54-5a0254f0c6600-br%22	https://rulko.ca/assets/font/HubllandRegular.woff	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/font/HubllandRegular.woff	(from https://rulko.ca/assets/style.css)
00:51:25	18920/18920	---MC-	200	added ('OK')	font/woff2	etag:W/%221d2394a-49e8-5a0254f0c6600-br%22	https://rulko.ca/assets/font/HubllandRegular.woff2	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/font/HubllandRegular.woff2	(from https://rulko.ca/assets/style.css)
00:51:25	81991/81991	---M--	200	added ('OK')	image/jpeg	etag:%221d23965-14047-57e081ee956c0%22	https://rulko.ca/assets/img/4971361-mars-space-wallpapers.jpg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/4971361-mars-space-wallpapers.jpg	(from https://rulko.ca/assets/style.css)
00:51:26	55321/55321	---M--	200	added ('OK')	image/gif	etag:%221d23987-d819-57e081fafb400%22	https://rulko.ca/assets/img/loading.gif	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/img/loading.gif	(from https://rulko.ca/assets/style.css)
00:51:26	115208/115208	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d23956-1c208-57e082b30a640-br%22	https://rulko.ca/assets/icons/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-brands-400.eot	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:27	115208/115208	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d23956-1c208-57e082b30a640-br%22	https://rulko.ca/assets/icons/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-brands-400d41d.eot	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:27	63272/63272	---MC-	200	added ('OK')	font/woff2	etag:W/%221d23957-f728-57e082b9b7600-br%22	https://rulko.ca/assets/icons/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-brands-400.woff2	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:28	74020/74020	---MC-	200	added ('OK')	font/woff	etag:W/%221d2395a-12124-57e082b9b7600-br%22	https://rulko.ca/assets/icons/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-brands-400.woff	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:28	114972/114972	---MCZ	200	added ('OK')	font/ttf	etag:W/%221d2395c-1c11c-57e082b3fe880-br%22	https://rulko.ca/assets/icons/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-brands-400.ttf	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:29	623204/623204	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d23955-98264-57e082b5e6d00-br%22	https://rulko.ca/assets/icons/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-brands-400.svg	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:29	40792/40792	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d2395b-9f58-57e082bb9fa80-br%22	https://rulko.ca/assets/icons/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-regular-400.eot	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:30	40792/40792	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d2395b-9f58-57e082bb9fa80-br%22	https://rulko.ca/assets/icons/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-regular-400d41d.eot	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:30	14920/14920	---MC-	200	added ('OK')	font/woff2	etag:W/%221d23959-3a48-57e082c0645c0-br%22	https://rulko.ca/assets/icons/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-regular-400.woff2	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:31	18184/18184	---MC-	200	added ('OK')	font/woff	etag:W/%221d2395f-4708-57e082c0645c0-br%22	https://rulko.ca/assets/icons/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-regular-400.woff	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:31	40564/40564	---MCZ	200	added ('OK')	font/ttf	etag:W/%221d23958-9e74-57e082bd87f00-br%22	https://rulko.ca/assets/icons/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-regular-400.ttf	(from https://rulko.ca/assets/icons/css/all.min.css)
00:51:31	141763/141763	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d2395e-229c3-57e082bd87f00-br%22	https://rulko.ca/assets/icons/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/TheoRulko/rulko.ca/assets/icons/webfonts/fa-regular-400.svg	(from https://rulko.ca/assets/icons/css/all.min.css)
